gene,ISCI_primary_rank,ISCI_orthogonal,controller_verdict,therapeutic_convergence,convergence_verdict,board_category,druggability_tier,intervention_direction,penalty_flags,clinical_relevance_grade,decision_class
IRF1,1.0,0.9509920634920634,top-controller,-0.20744542227568,unfavorable,D_dangerous_rheostat,no_chembl_target,titratable,tumor-suppressor(KD-oncogenic-risk),L1 (axis literature),"E — Wrong-way controller (mechanism, not target)"
IKBKB,2.0,0.9488095238095238,top-controller,0.1698474106899846,favorable,D_dangerous_rheostat,clinical_drug,transient_inhibition,TCR/signaling-proximal,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
BCLAF1,3.0,0.9240079365079366,top-controller,0.1538794483119022,favorable,C_probe_only,chembl_target,titratable,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
TFAP4,4.0,0.922420634920635,top-controller,0.488826269603658,favorable,C_probe_only,no_chembl_target,titratable,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
CYB561D2,5.0,0.9166666666666669,top-controller,-0.1596201699790721,unfavorable,C_probe_only,no_chembl_target,titratable,none,L0 (no direct clinical evidence),"E — Wrong-way controller (mechanism, not target)"
PDCD5,6.0,0.9132936507936508,top-controller,0.2052607736603649,favorable,C_probe_only,chembl_target,titratable,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
ZC3H12A,7.0,0.9077380952380952,top-controller,0.124229030748462,neutral,C_probe_only,no_chembl_target,transient_inhibition,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
STAT6,8.0,0.9061507936507937,top-controller,-0.0621758756826415,neutral,C_probe_only,chembl_target,titratable,none,L1 (axis literature),"C — Probe-only biology (controls axis, direction unclear)"
RCOR1,9.0,0.9031746031746032,top-controller,0.901560731438578,favorable,A_manufacturing_modulation,no_chembl_target,transient_inhibition,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
PRKDC,10.0,0.9023809523809524,top-controller,0.4299003112308772,favorable,D_dangerous_rheostat,clinical_drug,transient_inhibition,broadly-essential,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
