gene,effect_reach,repeatability,precision__activation_tcr,precision__th1_effector,precision__th2,precision__exhaustion_like,precision__memory_stem_like,precision__cd4_ctl_cytotoxic,precision__treg,known_regulator,clinical_controller,ISCI_primary_rank,ISCI_orthogonal,reach_pct,repeatability_conditional_pct,precision_activation_tcr_conditional_pct,precision_th1_effector_conditional_pct,precision_th2_conditional_pct,precision_exhaustion_like_conditional_pct,precision_memory_stem_like_conditional_pct,precision_cd4_ctl_cytotoxic_conditional_pct,precision_treg_conditional_pct,th2_evidence,th1_evidence,repeatability_evidence,profile_archetype,pareto_front,profile_version,profile_is_scalar,git_sha,data_sha256,axes_sha256,timestamp,command,method_version
A2M,110.33333333333333,0.8300072903833718,1.1626012011409423,2.5343122895534282,1.3929689341128186,1.1189299709204559,0.97237100262662,2.0352833143849156,1.5136399925332722,False,False,512.0,0.557936507936508,0.12540453074433658,0.9207119741100324,0.44093851132686085,0.5388349514563107,0.23867313915857605,0.3883495145631068,0.28802588996763756,0.6650485436893204,0.6496763754045307,SUPPORTED_EXPLORATORY,DIRECTIONAL_UNCERTAIN,DIRECTIONAL_UNCERTAIN,repeatable_low_precision,False,controllability_profile_v2,False,013a19dae16e24bafd4016e61a750c6b9df81a32,"{""outputs/decomposition_v2/marson_condition_features.parquet"": ""97294892d769aa6a1387f6c19422f307ca1a8e05b61ed1e236f18391ed4e0108"", ""outputs/decomposition_v2/t4_condition_transport_v2.json"": ""bc2839a5267f3c006c180cb5afa75daa19b5cb87d0c0575df2dbad6b9d7c7bc3"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T13:00:36.275985-03:00,python scripts/build_controllability_profile_v2.py,controllability_profile_v2
AASDH,84.33333333333333,0.7524946389659045,1.4313727058284424,1.351305756896038,1.6260398255845143,1.0719756106291314,2.1140674488251205,0.8865582525495451,1.1586523719014625,False,False,960.0,0.3625,0.0016181229773462784,0.6027508090614887,0.6448220064724919,0.2605177993527508,0.33980582524271846,0.3932038834951456,0.8398058252427184,0.23624595469255663,0.48058252427184467,SUPPORTED_EXPLORATORY,DIRECTIONAL_UNCERTAIN,DIRECTIONAL_UNCERTAIN,unresolved,False,controllability_profile_v2,False,013a19dae16e24bafd4016e61a750c6b9df81a32,"{""outputs/decomposition_v2/marson_condition_features.parquet"": ""97294892d769aa6a1387f6c19422f307ca1a8e05b61ed1e236f18391ed4e0108"", ""outputs/decomposition_v2/t4_condition_transport_v2.json"": ""bc2839a5267f3c006c180cb5afa75daa19b5cb87d0c0575df2dbad6b9d7c7bc3"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T13:00:36.275985-03:00,python scripts/build_controllability_profile_v2.py,controllability_profile_v2
ABHD12,150.33333333333334,0.6089177451965021,0.7860822194825299,1.0651230962308482,2.055580686572831,2.7419651133875633,2.961851708348336,1.7490678263351294,2.201971864748824,False,False,921.0,0.3823412698412698,0.2860032362459547,0.24352750809061488,0.1796116504854369,0.09627831715210355,0.4077669902912621,0.9247572815533981,0.9474110032362459,0.5194174757281553,0.86084142394822,SUPPORTED_EXPLORATORY,DIRECTIONAL_UNCERTAIN,DIRECTIONAL_UNCERTAIN,unresolved,False,controllability_profile_v2,False,013a19dae16e24bafd4016e61a750c6b9df81a32,"{""outputs/decomposition_v2/marson_condition_features.parquet"": ""97294892d769aa6a1387f6c19422f307ca1a8e05b61ed1e236f18391ed4e0108"", ""outputs/decomposition_v2/t4_condition_transport_v2.json"": ""bc2839a5267f3c006c180cb5afa75daa19b5cb87d0c0575df2dbad6b9d7c7bc3"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T13:00:36.275985-03:00,python scripts/build_controllability_profile_v2.py,controllability_profile_v2
ABHD13,159.33333333333334,0.23240786288356022,0.6463880088027381,2.075340434128688,1.6271616720720818,2.6447614972089077,1.6418760893779136,3.3209815487766714,1.3789479379386906,False,False,881.0,0.3986111111111111,0.31148867313915857,0.08090614886731391,0.13187702265372167,0.3559870550161812,0.24271844660194175,0.9029126213592233,0.5364077669902912,0.9401294498381877,0.5234627831715211,SUPPORTED_EXPLORATORY,DIRECTIONAL_UNCERTAIN,DIRECTIONAL_UNCERTAIN,unresolved,False,controllability_profile_v2,False,013a19dae16e24bafd4016e61a750c6b9df81a32,"{""outputs/decomposition_v2/marson_condition_features.parquet"": ""97294892d769aa6a1387f6c19422f307ca1a8e05b61ed1e236f18391ed4e0108"", ""outputs/decomposition_v2/t4_condition_transport_v2.json"": ""bc2839a5267f3c006c180cb5afa75daa19b5cb87d0c0575df2dbad6b9d7c7bc3"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T13:00:36.275985-03:00,python scripts/build_controllability_profile_v2.py,controllability_profile_v2
ABI3,389.0,0.8694719886344452,1.8260664057146145,3.1201107366801906,3.797279324604554,1.1519266988831323,3.3981327885430463,2.548708829045353,1.3833566870440832,False,False,255.0,0.6793650793650794,0.6419902912621359,0.9652103559870551,0.6682847896440129,0.5210355987055016,0.6682847896440129,0.2953074433656958,0.8656957928802589,0.6966019417475728,0.44336569579288027,SUPPORTED_EXPLORATORY,DIRECTIONAL_UNCERTAIN,DIRECTIONAL_UNCERTAIN,repeatable_low_precision,True,controllability_profile_v2,False,013a19dae16e24bafd4016e61a750c6b9df81a32,"{""outputs/decomposition_v2/marson_condition_features.parquet"": ""97294892d769aa6a1387f6c19422f307ca1a8e05b61ed1e236f18391ed4e0108"", ""outputs/decomposition_v2/t4_condition_transport_v2.json"": ""bc2839a5267f3c006c180cb5afa75daa19b5cb87d0c0575df2dbad6b9d7c7bc3"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T13:00:36.275985-03:00,python scripts/build_controllability_profile_v2.py,controllability_profile_v2
ACACA,307.0,0.8312625624717599,0.7546990303432511,1.4433676470878047,0.7055867915683564,0.6608243693599105,0.8017873848497349,0.9377486923549442,0.2795706758575118,False,False,836.0,0.4212301587301587,0.558252427184466,0.8988673139158576,0.10598705501618123,0.09870550161812297,0.019417475728155338,0.07686084142394822,0.07200647249190939,0.11974110032362459,0.013754045307443365,SUPPORTED_EXPLORATORY,DIRECTIONAL_UNCERTAIN,DIRECTIONAL_UNCERTAIN,repeatable_low_precision,False,controllability_profile_v2,False,013a19dae16e24bafd4016e61a750c6b9df81a32,"{""outputs/decomposition_v2/marson_condition_features.parquet"": ""97294892d769aa6a1387f6c19422f307ca1a8e05b61ed1e236f18391ed4e0108"", ""outputs/decomposition_v2/t4_condition_transport_v2.json"": ""bc2839a5267f3c006c180cb5afa75daa19b5cb87d0c0575df2dbad6b9d7c7bc3"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T13:00:36.275985-03:00,python scripts/build_controllability_profile_v2.py,controllability_profile_v2
ACAD11,397.0,0.7490922439218589,3.3275191523607717,2.3247238434099025,1.101163145076263,2.932954809802465,1.1204522469335687,2.017833070569672,1.4088171986098101,False,False,331.0,0.6398809523809523,0.654126213592233,0.5372168284789643,0.9660194174757282,0.3106796116504854,0.030744336569579287,0.8624595469255664,0.1715210355987055,0.529126213592233,0.4506472491909385,SUPPORTED_EXPLORATORY,DIRECTIONAL_UNCERTAIN,DIRECTIONAL_UNCERTAIN,unresolved,False,controllability_profile_v2,False,013a19dae16e24bafd4016e61a750c6b9df81a32,"{""outputs/decomposition_v2/marson_condition_features.parquet"": ""97294892d769aa6a1387f6c19422f307ca1a8e05b61ed1e236f18391ed4e0108"", ""outputs/decomposition_v2/t4_condition_transport_v2.json"": ""bc2839a5267f3c006c180cb5afa75daa19b5cb87d0c0575df2dbad6b9d7c7bc3"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T13:00:36.275985-03:00,python scripts/build_controllability_profile_v2.py,controllability_profile_v2
ACAD9,204.33333333333334,0.85008794709747,1.1468143350763744,0.49773499740783783,1.23787880954298,0.6207259730294586,2.598498616850655,2.321121132135628,1.0996327102808245,False,False,369.0,0.6196428571428572,0.4053398058252427,0.9563106796116505,0.35760517799352753,0.03478964401294499,0.11165048543689321,0.09627831715210355,0.8317152103559871,0.6933656957928802,0.34951456310679613,SUPPORTED_EXPLORATORY,DIRECTIONAL_UNCERTAIN,DIRECTIONAL_UNCERTAIN,repeatable_low_precision,False,controllability_profile_v2,False,013a19dae16e24bafd4016e61a750c6b9df81a32,"{""outputs/decomposition_v2/marson_condition_features.parquet"": ""97294892d769aa6a1387f6c19422f307ca1a8e05b61ed1e236f18391ed4e0108"", ""outputs/decomposition_v2/t4_condition_transport_v2.json"": ""bc2839a5267f3c006c180cb5afa75daa19b5cb87d0c0575df2dbad6b9d7c7bc3"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T13:00:36.275985-03:00,python scripts/build_controllability_profile_v2.py,controllability_profile_v2
ACLY,1255.3333333333333,0.7610213055962278,2.2676734015003337,2.310459598590581,1.7050888494399155,2.246968390175892,5.003070291649841,2.1420958056897024,2.2024180428734987,False,False,785.0,0.4446428571428571,0.9211165048543689,0.5744336569579288,0.7443365695792881,0.215210355987055,0.0889967637540453,0.6779935275080906,0.8648867313915858,0.5048543689320388,0.7014563106796117,SUPPORTED_EXPLORATORY,DIRECTIONAL_UNCERTAIN,DIRECTIONAL_UNCERTAIN,high_reach_mover,False,controllability_profile_v2,False,013a19dae16e24bafd4016e61a750c6b9df81a32,"{""outputs/decomposition_v2/marson_condition_features.parquet"": ""97294892d769aa6a1387f6c19422f307ca1a8e05b61ed1e236f18391ed4e0108"", ""outputs/decomposition_v2/t4_condition_transport_v2.json"": ""bc2839a5267f3c006c180cb5afa75daa19b5cb87d0c0575df2dbad6b9d7c7bc3"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T13:00:36.275985-03:00,python scripts/build_controllability_profile_v2.py,controllability_profile_v2
ACOT7,284.0,0.8066728461833469,0.9885803553318327,3.7777616773595164,4.105880430594927,1.7123463837386135,1.3131058059411382,1.499754768259441,1.2111885157165843,False,False,132.0,0.7577380952380952,0.5315533980582524,0.8106796116504854,0.23381877022653721,0.6957928802588996,0.7516181229773463,0.5889967637540453,0.3187702265372168,0.34870550161812297,0.3737864077669903,SUPPORTED_EXPLORATORY,DIRECTIONAL_UNCERTAIN,DIRECTIONAL_UNCERTAIN,precise_repeatable_low_reach,False,controllability_profile_v2,False,013a19dae16e24bafd4016e61a750c6b9df81a32,"{""outputs/decomposition_v2/marson_condition_features.parquet"": ""97294892d769aa6a1387f6c19422f307ca1a8e05b61ed1e236f18391ed4e0108"", ""outputs/decomposition_v2/t4_condition_transport_v2.json"": ""bc2839a5267f3c006c180cb5afa75daa19b5cb87d0c0575df2dbad6b9d7c7bc3"", ""results/final/isci_final_ranking.csv"": ""6f9fe281757d9cd7ab3ed33811b680e1f2b59b6a2f490967362e253350115d72""}",1bbcf56e4c749460f5d6e07648b341bcd28500c059c685bee1a418befeb063b7,2026-07-12T13:00:36.275985-03:00,python scripts/build_controllability_profile_v2.py,controllability_profile_v2
