gene,M_prot,S_prot,surf_shift,n_cells,M_rna,S_rna,C_rna,detectable,is_pos
A2M,0.17459159326294627,0.07583280061687593,0.012621414815794152,519,11.361263275146484,0.0044031403958797,0.0378151260504201,True,False
ACSL3,0.17668897025836927,0.21751791812656676,0.043948443864106644,225,9.89641284942627,0.119309514760971,0.4915966386554621,True,False
ACTA2,0.15505822109814252,0.004516802072077014,0.013527356338062605,602,10.201689720153809,0.0295353028923273,0.1428571428571428,True,False
AEBP1,0.1729338863142158,0.38603955271022977,0.045681951149946665,526,9.901880264282228,0.0825736001133918,0.2563025210084033,True,False
AGA,0.1393040684695961,0.160915563829447,0.002629337726849812,414,9.241788864135742,0.0190029609948396,,False,False
AHCY,0.5375583916410318,0.36769851622756117,-0.005305505130402066,34,31.3736515045166,0.1097815558314323,0.3739495798319328,True,False
AHNAK,0.201807779753522,0.2388010742181867,0.04064410649133613,428,9.381912231445312,0.0282825883477926,,False,False
APOC2,0.15821578050645166,0.10352710077738202,0.018361285810242694,465,9.407272338867188,0.0194304082542657,,False,False
APOD,0.18143310655632916,0.37844448459584873,0.04592828380457229,457,10.00270652770996,0.0807352736592292,0.2016806722689075,True,False
APOE,0.1666941146408797,0.3985814652187894,0.05095156376490587,455,9.410789489746094,0.0696308687329292,,False,False
ARMC6,0.18043178568749324,0.1885270316635953,0.023829610233629544,376,8.042365074157715,0.0206548813730478,,False,False
ATP1A1,0.43539874113241567,0.22673358973349658,-0.0049218218304202255,27,38.949954986572266,0.0300803519785404,0.2184873949579832,True,False
ATP1B1,0.165282935492629,0.326415152142045,0.0484545806655311,447,10.271072387695312,0.0919788181781768,0.3025210084033614,True,False
ATP5MD,0.2258739839855735,0.15396224275417278,0.012948449283540516,246,10.23055934906006,0.1139741614460945,0.5756302521008403,True,False
B2M,1.1699613118668342,0.015475277473795181,-0.33889382237488647,532,11.15268611907959,0.0953198224306106,0.2394957983193277,True,True
BOLA2,0.18314043760875431,0.27010684667151796,-0.0024602268241485925,293,11.18545627593994,0.1274502575397491,0.3529411764705882,True,False
BOLA2B,0.1748861478188206,0.05187042781817828,0.0002756402983706459,269,10.079734802246094,0.0842076018452644,0.3487394957983193,True,False
BZW2,0.2219236242934695,0.02868501191420242,0.029626349706411353,366,11.10177230834961,0.1110711172223091,0.273109243697479,True,False
C19orf48,0.158532977132665,0.07102797375609139,0.009908987994900994,447,9.966384887695312,0.0213728081434965,0.1092436974789916,True,False
C1QBP,0.22468060921327943,0.09968105659815356,0.023161813445260287,301,11.26764965057373,0.0915998667478561,0.2857142857142857,True,False
C6orf226,0.20587604056082193,0.03319005189259988,0.0028958003675948842,410,9.680132865905762,0.0419080890715122,0.2310924369747899,True,False
CCND1,0.332917723579752,0.04378282229405484,0.020046567140263278,271,16.006412506103516,0.1309079676866531,0.4243697478991596,True,False
CCND2,0.20198259908627475,0.11191349073708916,0.039133082246868844,405,10.846088409423828,0.055872868746519,0.1638655462184874,True,False
CCR10,0.17958592126832382,0.2389625061925053,0.03646558796637497,394,9.68563461303711,0.0281123407185077,0.1848739495798319,True,False
CCT3,0.4084367850688975,0.3593034681671435,0.11236291569142398,73,14.765294075012209,0.002183950971812,0.1092436974789916,True,False
CD151,0.22636017623217095,0.1006750699212618,0.009405470197335916,367,8.883648872375488,0.0628127455711364,,False,False
CD274,1.2478186128794357,0.8505934101567693,-0.3507587925995634,511,7.78207540512085,0.0830248519778251,,False,True
CD44,0.665930324872912,0.17314033282962588,0.11792714424046635,434,7.559483051300049,0.3019497692584991,,False,False
CD47,1.055458486270072,0.0011610786187206462,0.06394705037794006,425,7.931542873382568,0.1485563516616821,,False,False
CD58,0.8982505367432171,0.238112362321102,0.09186490874008173,412,7.646471500396728,0.1473350971937179,,False,False
CD59,0.5861732045033267,0.12658984978282048,0.03355525441176569,515,8.242450714111328,0.0335714928805828,,False,False
CD63,0.17303391742446778,0.2122248689464364,-0.005113855053298681,351,8.51056957244873,0.0009494536789134,,False,False
CDC123,0.2313952110853015,0.18343445361138036,0.038184363305602265,136,12.517200469970703,0.0212877485901117,0.1470588235294117,True,False
CDH19,0.1502824007059627,0.03198266294134483,0.014000743023746062,460,9.78498649597168,0.0044169556349515,0.1512605042016807,True,False
CDK4,0.19937985490558802,0.3326271938880072,0.03932894567965576,344,8.923860549926758,0.2356757819652557,,False,False
CDK6,0.422832504871093,0.0621549534304982,0.021711560022327808,196,17.4981632232666,0.1722394526004791,0.4117647058823529,True,False
CDKN1A,0.17969582490609567,0.11003101943120712,0.00977934926121038,394,11.38083267211914,0.1042106449604034,0.3571428571428571,True,False
CDKN2A,0.11465519463481588,0.1667271708671204,-0.00936312627057249,394,9.744111061096191,0.007748810108751,0.1848739495798319,True,False
CDKN2B,0.13820172517201618,0.6643386808921329,-0.030705909803305897,413,10.302348136901855,0.2537555694580078,0.7184873949579832,True,False
CGAS,0.13881520258621188,0.26107794803947276,0.018048925052744136,307,8.387308120727539,0.2326486706733703,,False,False
CHCHD2,0.1814429779484093,0.123628681054298,0.02596823357479927,422,10.81395435333252,0.0215206369757652,0.1050420168067226,True,False
CITED1,0.17109125075378373,0.16488173567561742,0.039802472954812505,418,9.175880432128906,0.1532964408397674,,False,False
CKS1B,0.16976751112587068,0.4334320080862779,0.026101376942472793,409,11.446050643920898,0.004654349759221,0.0504201680672268,True,False
CMSS1,0.17443320599443685,0.032258968688194306,0.018161679874833525,399,8.53122329711914,0.0571438744664192,,False,False
CORO1A,0.17056557568919745,0.33797092684234264,-0.02110937926863854,372,10.02617073059082,0.1091482639312744,0.2983193277310924,True,False
CSPG4,0.1741080590244196,0.24302141575599115,0.035236439124953556,465,9.187170028686523,0.024438627064228,,False,False
CST3,0.27486104314306786,0.02022064657296825,0.0255544131163572,273,9.56471347808838,0.1247100681066513,0.5,True,False
