gene,magnitude,S,R,n_de,base_expr,n_cells,n_wells,detectable,S_resid,R_resid,C
A2M,11.361263275146484,0.0044031403958797455,-0.17143805786723787,0,0.00395164592191577,443,3,True,-55.16693490955704,-55.30059820538387,0.03781512605042017
ACSL3,9.89641284942627,0.11930951476097107,0.16210212138998611,1,3.743232011795044,198,3,True,13.009656744053544,-16.17846460618148,0.49159663865546216
ACTA2,10.201689720153809,0.02953530289232731,-0.1294336307195584,0,0.07424280047416687,486,3,True,-35.99356217063097,-43.785643070787664,0.14285714285714285
AEBP1,9.901880264282227,0.08257360011339188,-0.12096407467406156,0,0.7666183114051819,434,3,True,-13.157278165503499,-38.47906281156533,0.25630252100840334
AGA,9.241788864135742,0.01900296099483967,-0.1499074271003454,0,1.3050650358200073,372,3,False,,,
AHCY,31.3736515045166,0.10978155583143234,0.30465504891917666,45,2.8415780067443848,34,2,True,-9.348354935194408,-23.833499501495538,0.3739495798319328
AHNAK,9.381912231445312,0.028282588347792625,-0.15493019384308693,0,4.238210201263428,352,3,False,,,
APOC2,9.407272338867188,0.019430408254265785,-0.163264489563656,0,0.7160598635673523,379,3,False,,,
APOD,10.002706527709961,0.08073527365922928,-0.2575315916280457,0,0.004022141918540001,371,3,True,-15.991952713288718,-49.982053838484575,0.20168067226890757
APOE,9.410789489746094,0.06963086873292923,-0.15226299401664264,0,0.2492358386516571,375,3,False,,,
ARMC6,8.042365074157715,0.02065488137304783,0.25786396913282444,0,1.0130858421325684,302,3,False,,,
ATP1A1,38.949954986572266,0.03008035197854042,,178,3.4790866374969482,27,1,True,-48.849159663865535,-17.735294117647072,0.2184873949579832
ATP1B1,10.271072387695312,0.09197881817817688,-0.05085548892365425,1,3.965545654296875,374,3,True,-8.4943668993021,-34.687437686939205,0.3025210084033614
ATP5MD,10.230559349060059,0.11397416144609451,0.34998698283838925,1,4.34702730178833,203,3,True,6.839502919811984,8.913758723828494,0.5756302521008403
B2M,11.15268611907959,0.09531982243061066,-0.13092880020520525,0,7.938262462615967,459,3,True,-8.499195271328873,-51.09820538384848,0.23949579831932774
BOLA2,11.185456275939941,0.12745025753974915,-0.060703269186461885,0,0.005993042606860399,227,3,True,11.166934909557042,-43.69940179461617,0.3529411764705882
BOLA2B,10.079734802246094,0.08420760184526443,0.08046446285597723,0,0.2601456642150879,226,3,True,-12.492757441959846,-23.883848454636116,0.3487394957983193
BZW2,11.10177230834961,0.11107111722230911,-0.20096158044340148,0,3.261582851409912,324,3,True,2.8346745477852124,-55.49700897308078,0.273109243697479
C19orf48,9.966384887695312,0.021372808143496513,-0.18953645687823148,0,1.9208526611328125,375,3,True,-40.658082894174626,-46.380857427716876,0.1092436974789916
C1QBP,11.26764965057373,0.09159986674785614,0.13802705697848874,1,6.366120338439941,224,3,True,-13.0,-30.00000000000002,0.2857142857142857
C6orf226,9.680132865905762,0.04190808907151222,-0.09254688852736136,0,0.566956639289856,338,3,True,-28.15405925081899,-31.87188434695915,0.23109243697478993
CCND1,16.006412506103516,0.13090796768665314,0.2885160371420912,1,6.63862943649292,214,3,True,7.489538527275329,-24.723330009970113,0.42436974789915966
CCND2,10.846088409423828,0.05587286874651909,-0.12423254261068754,0,0.0025067634414881468,338,3,True,-30.66452072354366,-47.59521435692923,0.1638655462184874
CCR10,9.68563461303711,0.028112340718507767,-0.1145646724753489,0,0.016203537583351135,329,3,True,-35.32099416037603,-33.172482552343,0.18487394957983194
CCT3,14.765294075012207,0.00218395097181201,0.23969940221167607,0,6.336259841918945,63,3,True,-62.508852015382416,-29.919740777667016,0.1092436974789916
CD151,8.883648872375488,0.06281274557113647,0.06115718096043029,1,3.1873831748962402,332,3,False,,,
CD274,7.78207540512085,0.08302485197782516,0.04184260726386286,0,0.7645832896232605,407,3,False,,,
CD44,7.559483051300049,0.30194976925849915,0.21283468470502523,0,5.84945011138916,397,3,False,,,
CD47,7.931542873382568,0.14855635166168213,0.16806079295397067,1,3.718050241470337,344,3,False,,,
CD58,7.6464715003967285,0.14733509719371796,0.12704859609285157,0,1.655029296875,388,3,False,,,
CD59,8.242450714111328,0.03357149288058281,0.07570992592538352,0,4.296132564544678,412,3,False,,,
CD63,8.51056957244873,0.0009494536789134145,0.157993200518045,1,7.282533168792725,288,3,False,,,
CDC123,12.517200469970703,0.021287748590111732,0.1892983110060145,0,3.14725661277771,106,3,True,-49.67095855291269,-28.80957128614159,0.14705882352941177
CDH19,9.78498649597168,0.0044169556349515915,-0.058329785822718506,0,0.00045107948244549334,391,3,True,-47.155668708161244,-29.67547357926224,0.1512605042016807
CDK4,8.923860549926758,0.23567578196525574,0.11496760930845791,1,3.1632118225097656,276,3,False,,,
CDK6,17.4981632232666,0.17223945260047913,0.1426724965018724,1,2.7073137760162354,138,3,True,20.82179888904716,-41.925722831505496,0.4117647058823529
CDKN1A,11.38083267211914,0.10421064496040344,0.18299983109089982,0,0.8729877471923828,349,3,True,-3.333869819114085,-25.60119641076772,0.35714285714285715
CDKN2A,9.744111061096191,0.007748810108751059,-0.01867919049308694,0,3.5796706676483154,296,3,True,-43.9887337986042,-25.37487537387839,0.18487394957983194
CDKN2B,10.302348136901855,0.2537555694580078,0.31500347822294267,0,0.9011518359184265,327,3,True,48.171763281583814,-0.28863409770690396,0.7184873949579832
CGAS,8.387308120727539,0.23264867067337036,0.4350670641573291,0,1.41289484500885,255,3,False,,,
CHCHD2,10.81395435333252,0.02152063697576523,-0.11863964652769456,0,7.336986541748047,338,3,True,-43.330650904429575,-44.994017946161534,0.10504201680672269
CITED1,9.175880432128906,0.15329644083976746,-0.07142214363908332,0,0.01591358333826065,369,3,False,,,
CKS1B,11.446050643920898,0.004654349759221077,-0.1479971506698087,0,4.3756937980651855,321,3,True,-53.83467454778521,-54.50299102691926,0.05042016806722689
CMSS1,8.53122329711914,0.05714387446641922,0.2414375999793532,1,2.9618589878082275,331,3,False,,,
CORO1A,10.02617073059082,0.10914826393127441,-0.20835963944120914,0,0.14255371689796448,299,3,True,3.6741774675971968,-49.583250249252266,0.29831932773109243
CSPG4,9.187170028686523,0.024438627064228058,-0.15906659949042712,0,0.008902305737137794,398,3,False,,,
CST3,9.564713478088379,0.1247100681066513,-0.0011639474496491786,1,5.80518913269043,230,3,True,18.68061529696623,-21.36889332003991,0.5
CTPS1,12.238324165344238,0.09201277047395706,0.5346368461589506,0,2.3360848426818848,140,3,True,-13.337088733798602,50.79162512462611,0.6512605042016807
CTSA,8.112677574157715,0.04205019026994705,0.3364440277560945,1,4.112973690032959,315,3,False,,,
CTSB,8.770360946655273,0.10449223965406418,0.12010742098388495,1,4.628586769104004,362,3,False,,,
CTSD,8.937463760375977,0.11885792016983032,0.29818104050521277,1,4.470747947692871,405,3,False,,,
CTSL,9.103705406188965,0.07371982932090759,0.09649739104996975,1,5.988598823547363,307,3,False,,,
CTSO,8.032450675964355,0.1274832934141159,0.06422699301744088,0,0.32054823637008667,350,3,False,,,
CXCR4,10.18675708770752,0.1727202832698822,-0.0676946163961461,0,0.004500482697039843,280,3,True,35.17337273892607,-37.485044865403815,0.4831932773109244
CYP27A1,8.198018074035645,0.11571695655584335,0.24023589488456634,0,0.10351495444774628,315,3,False,,,
DAG1,7.919214248657227,0.040893446654081345,0.16766637671981413,0,0.9129276275634766,283,3,False,,,
DDR1,9.572555541992188,0.06609727442264557,-0.038755226290538354,0,0.733587384223938,297,3,True,-16.48631961259082,-24.66949152542376,0.31512605042016806
DDX17,11.160561561584473,0.08194013684988022,0.07889585150174169,0,3.538292646408081,254,3,True,-19.666130180885915,-32.39880358923233,0.24369747899159666
DDX39A,9.422802925109863,0.08317837864160538,0.3456944764298824,0,3.5962507724761963,207,3,False,,,
DLL3,9.01966667175293,0.06923661381006241,0.19228662145179043,0,0.7001834511756897,301,3,False,,,
DNMT1,11.593328475952148,0.1517258733510971,0.35933076867823033,0,4.184176445007324,114,3,True,18.664520723543653,1.5952143569291906,0.6134453781512605
E2F1,12.70299243927002,0.16328643262386322,-0.15190671574479314,0,1.3685998916625977,200,3,True,20.995171627973228,-59.41076769690929,0.35714285714285715
EEA1,8.943164825439453,0.16595806181430817,0.22111720758878964,0,1.7033967971801758,253,3,False,,,
EEF1G,14.634819984436035,0.1707996428012848,0.40185858426671,0,0.09282281249761581,62,3,True,21.658082894174626,9.380857427716833,0.6596638655462185
EIF3K,12.952829360961914,0.14666010439395905,0.42740291974161354,3,5.669849395751953,259,3,True,14.661301808859136,23.988035892323012,0.6890756302521008
EIF4A1,18.752416610717773,0.1545192301273346,0.3801948401786992,0,5.544655799865723,44,3,True,14.154059250818989,-6.128115653040894,0.5588235294117647
EMP1,8.020859718322754,0.13759136199951172,0.446294027360006,0,0.460612416267395,314,3,False,,,
ENPP1,7.794008731842041,0.04020074009895325,0.3205514440603959,0,0.13554008305072784,282,3,False,,,
EVA1A,7.797768592834473,0.23500627279281616,0.32180472608046096,0,1.5834629535675049,270,3,False,,,
FARSA,36.37423324584961,0.09812828153371811,,124,1.3238284587860107,30,1,True,-17.51528984475145,-17.134097706879373,0.35294117647058826
FBL,12.027812957763672,0.056488778442144394,0.237925515118709,0,3.502800703048706,109,3,True,-33.00321891468452,-24.607178464606207,0.2605042016806723
FBXO32,9.457643508911133,0.03707224875688553,0.029759249775539804,0,0.9620696902275085,345,3,True,-28.317775245691514,-18.56530408773682,0.3067226890756303
FGFR1,7.001107692718506,0.014242928475141525,0.4009313540800848,0,1.9804059267044067,394,3,False,,,
FKBP4,9.379607200622559,0.11327563971281052,0.21372961591666348,1,4.4568915367126465,230,3,False,,,
FMN1,8.6387300491333,0.0016004781937226653,0.008082487905337226,0,0.49824753403663635,338,3,False,,,
FOS,8.6183500289917,0.006271069869399071,0.25929693534869963,0,0.1745954006910324,240,3,False,,,
FOXM1,13.278176307678223,0.19396370649337769,0.2748063856544379,0,1.9863182306289673,87,3,True,32.65969235151688,-24.815553339980085,0.5294117647058824
FRZB,8.81596851348877,0.06035669893026352,0.1499755343264584,0,0.038515184074640274,224,3,False,,,
FSTL3,6.899288654327393,0.13428065180778503,0.3521531892099829,0,1.1099822521209717,346,3,False,,,
FTH1,21.48016929626465,0.14073336124420166,0.458881006174459,1,9.528738975524902,51,2,True,7.486319612590819,26.66949152542371,0.6554621848739496
GAA,8.14971923828125,0.0030262053478509188,0.2501287462531871,0,0.26763418316841125,299,3,False,,,
GAS5,8.747709274291992,0.06292523443698883,0.1917786746434579,0,0.7160598635673523,288,3,False,,,
GPATCH4,10.296358108520508,0.11575314402580261,0.22785695474648626,0,3.9141409397125244,211,3,True,8.338698191140857,-15.988035892323055,0.48319327731092443
GPI,17.872638702392578,0.12395204603672028,0.4265302658102927,4,3.3845157623291016,49,3,True,1.6548639794901163,15.773678963110655,0.5714285714285714
GPNMB,9.885640144348145,0.005194529425352812,0.19843381823693748,0,0.12417545169591904,267,3,True,-45.823408346389414,-11.877866400797636,0.25630252100840334
GRN,8.425168991088867,0.03922007232904434,0.4112578535614791,1,2.9897096157073975,266,3,False,,,
GSEC,10.566262245178223,0.09521285444498062,0.29838167930810205,0,0.29891493916511536,142,3,True,-7.662911266201405,-6.791625124626144,0.46218487394957986
GSN,7.650533676147461,0.0460251048207283,0.34643129953356827,0,1.0819668769836426,317,3,False,,,
HASPIN,9.126675605773926,0.03741983696818352,0.3906037399596074,0,0.12419965863227844,165,3,False,,,
HLA-A,7.663946151733398,0.004178226459771395,0.2510877963402734,0,6.639670372009277,326,3,False,,,
HLA-B,10.623641967773438,0.0656810775399208,0.1283334528017371,1,5.633626461029053,186,3,True,-23.99678108531549,-27.392821535393843,0.2605042016806723
HLA-C,8.654647827148438,0.09152385592460632,0.3537491520366796,1,6.579638957977295,212,3,False,,,
HLA-DRB5,8.861662864685059,0.007892860099673271,0.1082549224188416,0,0.014019215479493141,343,3,False,,,
HLA-E,9.464442253112793,0.09911556541919708,0.28624442106999487,1,4.739582061767578,251,3,True,2.515289844751443,1.1340977068793308,0.5336134453781513
HLA-F,7.744361400604248,0.17926882207393646,0.2799924970931591,0,1.2643613815307617,294,3,False,,,
HLA-H,8.874093055725098,0.19098909199237823,0.14582859820648034,0,0.7160598635673523,283,3,False,,,
HNRNPA1,9.921031951904297,0.08922559767961502,0.4773701167003898,1,5.750916481018066,219,3,True,-9.491147984617584,55.91974077766697,0.6932773109243697
