gene,pdl1_shift,n_cells,is_pos
ATF2,-0.0002258889673742992,1102,False
BRD4,0.28321860990959,341,False
CAV1,0.0035879054099346996,882,False
CD86,0.12875237133752393,1197,False
CMTM6,-0.2894757655152469,817,True
CUL3,0.13228653643528832,274,False
ETV7,0.0034103860280163545,841,False
IFNGR1,-0.48322806400516644,1341,True
IFNGR2,-0.5080540996960932,1213,True
IRF1,-0.22176612653118266,1073,True
IRF7,0.011250620993821125,614,True
JAK2,-0.5467750484660427,1024,True
MARCH8,-0.011920670086680407,1003,True
MYC,0.17503575005429106,109,False
NFKBIA,0.030685333424216643,787,True
PDCD1LG2,0.09065450539081488,617,True
POU2F2,0.023106415234260713,662,False
SMAD4,-0.018961539883313394,659,False
SPI1,-0.04179920222700029,48,True
STAT1,-0.45649483380824457,444,True
STAT2,-0.028717661062084954,661,True
STAT3,0.035982098109255345,493,True
STAT5A,0.004705873143996064,659,True
TNFRSF14,-0.00833055766194879,964,False
UBE2L6,0.007001158642896521,518,True
