gene,magnitude,S,R,target_baseMean,n_cells_target,detectable,C
RAC1,4.319482326507568,0.033098254352808,-0.043809033930301666,1.5978790521621704,84,False,
SUOX,4.49260139465332,0.022473279386758804,-0.005509727168828249,0.03553801774978638,96,False,
TNFSF15,5.311878204345703,0.002279045060276985,-0.016069384291768074,0.07508139312267303,67,True,0.10469011725293133
IL2RA,6.31165075302124,0.1840396225452423,0.1843700408935547,0.005296478513628244,97,True,0.8425460636515913
BBS9,5.480863571166992,0.01880412921309471,-0.1648397147655487,0.006425587460398674,56,True,0.05946398659966499
LZTS1,3.853151321411133,0.09236975014209747,0.02246975153684616,0.04759742692112923,118,False,
TAB1,3.8305892944335938,0.14051024615764618,-0.0449683740735054,0.05189282447099686,140,False,
SLC26A4-AS1,4.304678440093994,0.006727305240929127,-0.10647254437208176,,109,False,
RNF25,4.911567687988281,0.003051083069294691,-0.03949100896716118,0.07572028040885925,76,True,0.08793969849246232
AP1AR,3.852036476135254,0.059032175689935684,-0.017484553158283234,0.05572164058685303,146,False,
PRKCQ-AS1,4.808062553405762,0.12389402836561203,-0.005099266767501831,,94,True,0.6197654941373535
CSMD3,3.952601194381714,0.022676868364214897,0.0936637818813324,0.000997259863652289,124,False,
FUT2,4.408034324645996,0.013698401860892773,-0.013873659074306488,0.0010796062415465713,91,False,
FOXF1,4.066402912139893,0.048975180834531784,-0.09876372665166855,0.021312884986400604,101,False,
RIPK2,4.160977363586426,0.09917428344488144,0.028572499752044678,0.6765722632408142,108,False,
IKBKG,7.703303813934326,0.3182055354118347,0.49068424105644226,0.13122084736824036,91,True,0.8911222780569514
IL12B,4.453782081604004,0.14310775697231293,0.17047786712646484,0.017261046916246414,134,False,
HSPD1,4.782249450683594,0.059181928634643555,0.01559431105852127,1.3760457038879395,84,True,0.5117252931323283
JUNB,4.705501556396484,0.042051102966070175,0.047814641147851944,1.1109771728515625,109,False,
MAX,4.470245838165283,0.08632542192935944,0.055622100830078125,0.23476438224315643,90,False,
HAX1,5.316735744476318,0.0577453151345253,-0.04413225129246712,0.5914831161499023,67,True,0.27721943048576214
NAAA,3.8379039764404297,0.008542641997337341,-0.06915570050477982,0.06056540086865425,120,False,
RXRA,4.518055438995361,0.06668867915868759,-0.03949954733252525,0.37929433584213257,82,False,
RELB,4.721639156341553,0.13219177722930908,0.10697105526924133,0.6162899732589722,103,True,0.9254606365159128
NOD2,4.47137975692749,0.033225029706954956,0.012069221585988998,0.03882481902837753,108,False,
ZBTB7C,3.9132893085479736,0.032775428146123886,0.018842794001102448,0.0545925572514534,122,False,
FLI1,6.178102970123291,0.14254586398601532,0.1457761824131012,0.20312322676181793,83,True,0.8065326633165829
ACTL6A,7.836687088012695,0.02937745861709118,0.11939071118831635,0.17648011445999146,47,True,0.42462311557788945
KIF15,5.692236423492432,0.02274150773882866,-0.06503234058618546,0.09347902238368988,76,True,0.08877721943048576
C6orf47,5.391075134277344,0.0957091823220253,0.11307189613580704,0.11290393769741058,86,True,0.7386934673366834
MICA,4.522392749786377,0.00343580124899745,-0.042997345328330994,0.10615181177854538,90,False,
SGMS1,4.178366184234619,0.030507592484354973,-0.0639701634645462,0.035838935524225235,97,False,
RALBP1,4.7252092361450195,0.106890968978405,0.02728620544075966,0.6017618775367737,87,True,0.7060301507537687
MDC1,4.280359268188477,0.024742772802710533,7.332675158977509e-05,0.12329407781362534,99,False,
ATF1,4.177368640899658,0.09447288513183594,0.04807460308074951,0.054304346442222595,114,False,
TRADD,3.817920207977295,0.05547464266419411,-0.020608533173799515,0.18282373249530792,104,False,
ASCC1,4.726741790771484,0.01344390120357275,-0.016023118048906326,0.09316450357437134,82,True,0.22613065326633164
LINC00923,5.181285858154297,0.0833217054605484,-0.009769018739461899,0.010582041926681995,71,True,0.4514237855946399
NFIC,4.327652454376221,0.1070549264550209,0.20384621620178223,0.3501492738723755,151,False,
MAP2K3,4.084333419799805,0.019830385223031044,-0.04034317657351494,0.31739792227745056,121,False,
S100A9,4.6042656898498535,0.07102622836828232,-0.03124908171594143,0.3203341066837311,72,False,
IL23R,5.509542465209961,0.10019209235906601,0.09296505898237228,,69,True,0.7194304857621441
MSRA,5.6086506843566895,0.12585768103599548,0.1712263524532318,0.49272722005844116,86,True,0.8216080402010051
CD14,5.552165508270264,0.11092163622379303,0.03529318422079086,0.3032100200653076,109,True,0.6281407035175879
REL,4.036365509033203,0.10956834256649017,0.057174090296030045,1.4009822607040405,119,False,
LEO1,6.462471008300781,0.0712045431137085,0.31135275959968567,0.20014198124408722,87,True,0.6926298157453936
TNF,4.058053970336914,0.02959398366510868,-0.036521926522254944,0.6852447390556335,109,False,
AKT1,5.90561056137085,0.021794751286506653,0.06895126402378082,0.24088141322135925,71,True,0.3609715242881072
SIGLEC5,5.104022026062012,0.002548521151766181,0.0031817788258194923,0.0017398224445059896,65,True,0.18257956448911222
CEP290,5.990135669708252,0.13686849176883698,-0.00328569277189672,0.117710180580616,59,True,0.525963149078727
RCAN1,5.217873573303223,0.06060650199651718,-0.04311984032392502,0.5595000982284546,76,True,0.30234505862646566
HLA-DOA,4.091983795166016,0.03822765499353409,0.002371080219745636,,128,False,
PPM1D,4.212538242340088,0.012095334939658642,-0.031859204173088074,0.051564764231443405,100,False,
IFNGR2,4.872251510620117,0.054483577609062195,-0.041697144508361816,0.9455264806747437,80,True,0.3157453936348409
RAB32,3.5514438152313232,0.004018433392047882,-0.042274899780750275,0.236357644200325,142,False,
ECSIT,4.71190881729126,0.10410507768392563,0.02780461311340332,0.08559633046388626,95,False,
CD19,4.5923848152160645,0.002845941111445427,0.039436131715774536,0.003355873515829444,82,False,
DUSP1,4.200809955596924,0.041322581470012665,-0.07048679888248444,0.3876573145389557,111,False,
MAP2K6,4.897622108459473,0.03118029050529003,0.024160709232091904,0.004213032778352499,88,True,0.4028475711892797
NLRX1,3.8960869312286377,0.05117238312959671,-0.03561368212103844,0.07068730890750885,123,False,
VARS2,6.133243083953857,0.05030865594744682,0.13374663889408112,0.03608473390340805,60,True,0.5527638190954773
LINGO2,4.341268539428711,0.07992663979530334,-0.0006081108003854752,,111,False,
SAA1,4.985902309417725,0.06904111802577972,-0.18759793043136597,0.01085682027041912,75,True,0.2989949748743719
ANGPTL6,4.683232307434082,0.06612426042556763,-0.011021588928997517,0.007755286525934935,91,False,
TICAM1,4.10558557510376,0.009392376989126205,0.026859665289521217,0.14928774535655975,108,False,
DNTTIP1,6.478740692138672,0.07508522272109985,0.2357218712568283,0.2745952010154724,74,True,0.6867671691792294
PPIF,4.463218688964844,0.013373087160289288,-0.00040048733353614807,1.281895637512207,106,False,
TMX2-CTNND1,4.679261684417725,0.012153564020991325,0.0065786587074398994,,105,False,
MIB2,6.275653839111328,0.016026917845010757,-0.002485578879714012,0.11518499255180359,45,True,0.14154103852596314
KRT10,4.380690097808838,0.047667764127254486,-0.07701150327920914,0.5561853051185608,96,False,
CARD19,4.541968822479248,0.08114326745271683,-0.02806135080754757,0.49406176805496216,94,False,
HLA-F,3.9037187099456787,0.012249590829014778,-0.08919944614171982,0.0026381874922662973,119,False,
CFD,4.149589538574219,0.02300652302801609,-0.12524254620075226,0.3359220027923584,105,False,
