gene,magnitude,n_de,n_cells,base_expr,reproducibility,specificity,S_resid,R_resid,C,detectable,is_positive,is_matched_negative
LAT2,39.397437278321696,1401,684,2.587039291858673,0.619600992563477,0.7468300701087941,26.850639386189258,24.955133357690904,0.9420289855072463,True,True,False
MUC1,48.962663905089755,2481,553,1.7412521243095398,0.6817685853767218,0.8074399395467456,24.42455242966752,23.665692363902096,0.9057971014492754,True,False,True
GRAP,36.5778937751688,1112,581,1.499174177646637,0.5201342572877706,0.7239263925447056,28.723273657289,20.755425648520273,0.9057971014492754,True,True,False
JMJD1C,35.113636935720265,1080,481,4.485339283943176,0.47700753222935305,0.570151152271459,28.319181585677747,19.31114358786993,0.8840579710144928,False,False,False
MAP4K1,51.83406975372419,2809,381,3.39668470621109,0.5769519280975994,0.7718007987172125,22.78618925831202,17.043405188162232,0.8333333333333334,True,True,False
SLA2,44.5888888893018,1994,387,3.6736868619918823,0.5145063576611987,0.7489812167784733,24.02046035805627,13.221410303251744,0.8115942028985508,True,False,True
CD247,32.62495131715417,873,401,4.424853682518005,0.4442203527941005,0.33984246228944964,21.87263427109974,16.80029229082937,0.8115942028985508,False,True,False
VAV1,43.560453980622555,1832,449,3.4841375946998596,0.6316564497439882,0.348906340561476,12.978005115089516,23.154841066861536,0.782608695652174,True,True,False
FOXL2NB,57.36940814490008,2832,263,0.06268847733736038,0.701437977506186,0.38797671791234506,10.467007672634274,23.732261600292304,0.782608695652174,True,False,True
CD27,31.70235221220183,763,650,4.8205448389053345,0.5627484378454592,0.1643866505662106,4.468542199488489,28.356010230179017,0.782608695652174,False,True,False
LAT,31.288564022804998,725,427,5.026240825653076,0.3768199224793638,0.31580383224735303,22.106905370843986,8.978297405918877,0.7608695652173914,False,True,False
ARHGDIB,35.88447143112256,1147,387,6.017988204956055,0.39006211513603134,0.5683433894841238,26.680818414322246,5.688856412130065,0.7536231884057971,True,False,False
TNFRSF1A,32.475035773278606,845,562,2.8424102067947388,0.5711906017585735,0.153573307133092,1.1918158567774917,28.111435878699297,0.7463768115942029,False,False,False
EMP3,23.417108379202478,242,804,5.75523829460144,0.34045634305221295,0.3346318104813813,28.852173913043472,2.578881987577617,0.7463768115942029,False,False,False
LCP2,29.076350628811657,583,539,4.685049414634705,0.4004206787091791,0.26045407638512097,18.34117647058823,14.156302521008389,0.7391304347826086,False,True,False
EMP1,27.71921410494726,487,534,3.5203253626823425,0.3668471006806589,0.2818148993233893,23.617902813299228,5.400876872488109,0.7246376811594203,False,False,False
ITPKA,40.249653223081644,1543,348,1.1665086597204208,0.4234520702857609,0.45915681156403765,20.573913043478264,6.710559006211184,0.717391304347826,True,False,False
