gene,magnitude,nDE,S_axis,best_axis,R,S_resid,R_resid,C,base_expr,ncells,is_positive,is_negative
IKZF3,120.3883938868056,791,2.7589565164519065,erythroid,0.9950179843679904,1.0,0.9056603773584906,0.9528301886792453,0.13815779983997345,681,True,False
CEBPE,114.70045156842086,710,1.1756437117392047,erythroid,0.994417812044339,0.9245283018867925,0.9622641509433962,0.9433962264150944,0.023288341239094734,1233,True,False
CLDN6,87.56950531868677,173,0.9719778423914321,erythroid,0.9875463497764633,0.8867924528301887,0.9433962264150944,0.9150943396226415,0.058628328144550323,670,False,True
DUSP9,106.55168546877127,589,1.2493512079070839,erythroid,0.9898880454439104,0.9433962264150944,0.8679245283018868,0.9056603773584906,0.04889342188835144,731,False,True
MAPK1,103.29821118000413,475,0.9864678419503164,erythroid,0.9914087693990815,0.8679245283018868,0.9245283018867925,0.8962264150943396,0.915446400642395,765,False,True
KLF1,99.83315218607173,357,0.7475088161509486,erythroid,0.9936551008244622,0.7735849056603774,1.0,0.8867924528301887,0.410044401884079,1960,True,False
CEBPA,221.16781126865763,3632,1.3718765531665051,erythroid,0.9956748200152185,0.9056603773584906,0.8490566037735849,0.8773584905660378,0.04599122703075409,460,True,False
FEV,119.43707075624155,872,1.9859291574126121,megakaryocyte,0.9903682348035324,0.9811320754716981,0.7735849056603774,0.8773584905660378,0.1632605940103531,704,True,False
OSR2,96.12028956871312,313,0.7179512860068306,erythroid,0.9904779044377172,0.7547169811320755,0.9811320754716981,0.8679245283018868,0.039326731115579605,1003,False,True
CEBPB,116.85230136023935,680,0.9242485943243888,erythroid,0.9890533319993995,0.8113207547169812,0.7547169811320755,0.7830188679245284,0.16924956440925598,488,True,False
PRDM1,130.50975993093022,1165,1.4386281389794267,erythroid,0.9812938967909826,0.9622641509433962,0.5849056603773585,0.7735849056603774,0.012763705104589462,297,True,False
PTPN1,98.95546750548883,366,0.833976055387576,erythroid,0.972593459092622,0.8301886792452831,0.6981132075471698,0.7641509433962264,0.37269502878189087,419,False,False
SLC4A1,105.81881443484447,477,0.6920547701389624,erythroid,0.988197557370395,0.7169811320754716,0.8113207547169812,0.7641509433962264,0.0045824977569282055,1000,False,True
COL2A1,114.36635069599826,673,0.8285396757987519,megakaryocyte,0.9874169291910915,0.7924528301886793,0.7358490566037735,0.7641509433962264,0.30172041058540344,598,False,True
TP73,186.4141121558289,3035,1.1244905827685465,erythroid,0.9852279352260104,0.8490566037735849,0.5660377358490566,0.7075471698113207,0.0111882034689188,248,False,True
S1PR2,88.082520681132,243,0.4262869448785279,erythroid,0.9761733093119315,0.5849056603773585,0.7924528301886793,0.6886792452830188,0.02619273215532303,541,False,True
ATL1,105.0061236964085,466,0.684453467443322,erythroid,0.9725846352141163,0.6981132075471698,0.6226415094339622,0.660377358490566,0.001938168308697641,379,False,True
