gene,L1_state,R_migration,L3_synapse,R_killing,TSC,magnitude,ISCI_orthogonal
PLCG1,4.362361352154476,2.0350946823783818,2.9807483187947725,1.452050068041525,2.817578242563205,2418.0,0.8202380952380952
LAT,5.673482733354032,2.7053745841105075,3.052814156611394,0.19142365744516457,3.7690292588338083,2909.0,0.7529761904761905
PMVK,4.530474218594605,4.940449301146996,1.848253026215912,-1.973092048447864,6.849298786735884,1275.3333333333333,0.6609126984126984
LCP2,3.7497877528547803,2.129570587717791,2.2091450874535146,1.448083637743041,2.9200043548683676,2173.0,0.6944444444444444
GATA3,4.670118778730683,2.0128435748311957,0.2796422101307017,-0.7753414591982258,2.7052087666668623,1126.6666666666667,0.8793650793650793
CREBBP,3.9003843650969103,1.483214972242605,-0.11630786307344634,1.3349693643900447,1.9426156231240692,2162.6666666666665,0.7089285714285715
KIFAP3,2.1669951136542305,0.2537964462474585,-0.41475706727412254,3.300279970293351,0.19782301503718297,1396.3333333333333,0.7748015873015873
VAV1,3.7338127273842696,2.340386425173705,3.5158199821519904,-0.9793252578907192,3.260907780635141,2847.6666666666665,0.6851190476190476
CD247,3.4772205207188662,1.3714710530728078,1.7112572189203679,-0.9269823008618069,1.8460726211570517,1721.0,0.7654761904761904
CD3G,3.447369363342342,1.6517610810911774,2.9973614176327574,-0.010361353370246684,2.277710835821246,2115.0,0.7287698412698413
PGGT1B,3.584885824037327,1.6802861426913336,1.03813954265064,-0.15881550271192113,2.2555226744803574,1130.3333333333333,0.756547619047619
KDM1A,6.1097942774349905,3.0855631821197815,0.7745213216161115,-1.950330601704471,4.233734298337407,2410.6666666666665,0.8718253968253968
TMX1,2.481236379802136,1.603353001641477,2.803165622845661,0.9779574813554932,2.194705785939261,1436.0,0.7984126984126985
ZBED3,2.9198946263257963,1.3675476304290013,0.8284701056831457,0.9919986654759733,1.8045504399133778,1545.3333333333333,0.638095238095238
CD3D,1.6409812943925466,1.4763407354317681,1.70925592445921,1.4401294822359576,1.9745703680008597,2141.0,0.8767857142857143
IL2RB,2.1696304755043965,1.205348210264376,0.30309485642080863,-1.8593825223057976,1.5598629469108394,649.0,0.8374999999999999
ZAP70,3.5424794375818025,1.7045141914353388,2.053386532548776,-1.0056352920622655,2.323321066140982,2530.3333333333335,0.6902777777777778
CFAP20,2.4610740484433653,0.91672218782128,0.9301175898264917,-0.6232076058399915,1.1768376872030268,870.3333333333334,0.7738095238095238
SUPT20H,3.8113474411246604,-0.4163276225089777,-1.0620528356272811,-1.7470426636772942,-0.7388007385935931,3444.0,0.5811507936507936
LCK,3.2570822069454883,2.0588831693790985,2.2137582251055785,-1.1900475431682198,2.8219942092885577,1213.0,0.5992063492063492
CD3E,2.669121638996972,1.3774535294344616,2.523533383137151,0.6450978339432064,1.8718805318066791,2433.6666666666665,0.8317460317460318
USP22,1.953478440142359,0.16375795536775176,-0.682064215957459,0.22671045768109885,0.06683652649344582,2004.3333333333333,0.829563492063492
FITM2,3.424501555113351,1.2843825366143056,1.3899323501644412,-1.1035770913951604,1.7138343536356697,988.0,0.6803571428571429
TADA2B,5.105436638804942,-1.119106478383231,-1.7570481354458172,-4.09433359943725,-1.7298259173976906,5287.0,0.4994047619047619
MALT1,0.8659775206118254,1.1466860735792452,1.6262039465429707,1.4213207568693764,1.5051661960668135,1018.3333333333334,0.7488095238095238
NPC2,3.0298882599039167,2.0002416199673037,1.0616173086369531,-0.20730108628682029,2.699370266066652,982.0,0.6607142857142857
STAT5B,0.8970969800818631,1.1939254369799446,1.5248730613379229,-1.1563454835728857,1.5724859718040094,930.0,0.626984126984127
SLC16A1,1.8584461916513455,1.0819156030170407,0.46524734479888774,0.6631962309947164,1.3859496414040826,131.0,0.7511904761904762
SUPT7L,3.5978535127552425,-0.47540682049308003,-0.43272010189918136,-2.2779808340932086,-0.8017763674893518,3635.0,0.296031746031746
TNRC6A,1.7720701873365792,0.9040815344777074,0.8485611275905498,0.9194882888407866,1.1486660171634684,549.6666666666666,0.631547619047619
SCYL3,1.775996844203353,-0.41415829146436317,-0.09396602449725029,-0.19645425926226556,-0.7226455868194734,547.6666666666666,0.521626984126984
LRBA,2.2161356734957107,0.645381234047487,1.0894744258209403,1.3900708611696422,0.7974386514926138,1073.6666666666667,0.7587301587301587
HELT,0.7369509650881034,2.0275254439160837,2.3581824722960154,0.8953251587424674,2.7600348180574,1487.6666666666667,0.6607142857142858
TWNK,2.8380188143111913,1.3992809614799895,0.44120918032165507,-1.1091060383923768,1.8392825847650836,417.6666666666667,0.7611111111111111
XRCC2,0.9845247271971953,0.3550172587393775,0.6110906255911892,2.6356039087314076,0.36455467505762973,443.3333333333333,0.4873015873015872
EIF4G2,1.936341364003299,-0.5317986148117785,-0.6968874152177907,1.217403124362294,-0.9077351796401305,2124.6666666666665,0.3851190476190476
TADA1,4.489887678030433,-0.6313343502416104,-1.8190768923935827,-2.8336588174443307,-1.0568173569874948,3235.6666666666665,0.5428571428571428
CXXC1,0.09586959075372681,0.8757040867779823,-0.11953851296370636,-0.262215770849145,1.0668347535533271,909.0,0.5246031746031746
