gene,ISCI_core,p_value,q_value
ARHGAP30,0.996720684239407,0.000999000999000999,0.8224632510346797
SETDB1,0.9949858899894692,0.000999000999000999,0.8224632510346797
CNBP,0.9946288559916986,0.000999000999000999,0.8224632510346797
CAND1,0.992049894136109,0.000999000999000999,0.8224632510346797
RASAL3,0.9909432024543641,0.001998001998001998,0.9463960696837409
RSBN1L,0.9908364258723656,0.000999000999000999,0.8224632510346797
CBX5,0.9907880712684746,0.000999000999000999,0.8224632510346797
ATAD5,0.990052953598608,0.000999000999000999,0.8224632510346797
KDM5C,0.9896063189184435,0.002997002997002997,0.9463960696837409
HDAC1,0.9894852909514221,0.002997002997002997,0.9463960696837409
PAK2,0.9889921713557598,0.000999000999000999,0.8224632510346797
CD2,0.9889047341922955,0.000999000999000999,0.8224632510346797
NCKAP1L,0.9878212347581319,0.001998001998001998,0.9463960696837409
PKM,0.9877525222615633,0.000999000999000999,0.8224632510346797
HNRNPD,0.9877134556110106,0.000999000999000999,0.8224632510346797
UBR5,0.9873559044144218,0.000999000999000999,0.8224632510346797
WASF2,0.9866231878322871,0.001998001998001998,0.9463960696837409
BZW2,0.986369343896338,0.001998001998001998,0.9463960696837409
EIF1,0.9856567969172965,0.002997002997002997,0.9463960696837409
RAC2,0.9856563209621092,0.002997002997002997,0.9463960696837409
RMND5A,0.9854259959051709,0.001998001998001998,0.9463960696837409
KAT6A,0.9851099577964048,0.003996003996003996,0.9463960696837409
EIF2AK1,0.985052139032245,0.003996003996003996,0.9463960696837409
TRIP12,0.9847524909677728,0.002997002997002997,0.9463960696837409
IFNAR1,0.9845156595305952,0.002997002997002997,0.9463960696837409
TASOR,0.9842164139424732,0.001998001998001998,0.9463960696837409
TMX1,0.984095976865657,0.000999000999000999,0.8224632510346797
NSD1,0.9830574764811659,0.001998001998001998,0.9463960696837409
PTEN,0.9828755225539788,0.002997002997002997,0.9463960696837409
UFM1,0.9827843928646085,0.004995004995004995,0.9463960696837409
USP22,0.9817892716174043,0.001998001998001998,0.9463960696837409
PRKD2,0.9816452919797084,0.002997002997002997,0.9463960696837409
TRAF3,0.9809694208540084,0.006993006993006993,0.9595404595404595
CD5,0.9808450786839641,0.004995004995004995,0.9463960696837409
CCNC,0.9807175467148079,0.001998001998001998,0.9463960696837409
INPP5D,0.9796635270782376,0.004995004995004995,0.9463960696837409
NUFIP2,0.9794633833473033,0.003996003996003996,0.9463960696837409
ADNP,0.9794126494726112,0.001998001998001998,0.9463960696837409
MBD3,0.9791949210076641,0.003996003996003996,0.9463960696837409
CCND2,0.9791338058572775,0.006993006993006993,0.9595404595404595
NFKB2,0.9788407768829427,0.005994005994005994,0.9463960696837409
DNTTIP1,0.9786592826191497,0.003996003996003996,0.9463960696837409
SRM,0.9784294910454937,0.005994005994005994,0.9463960696837409
EHMT2,0.9783120613689248,0.000999000999000999,0.8224632510346797
PUM1,0.9783014043015176,0.003996003996003996,0.9463960696837409
CREBBP,0.9778692347483084,0.004995004995004995,0.9463960696837409
HAPSTR1,0.9776946451475768,0.005994005994005994,0.9463960696837409
KDM1A,0.9772748376776387,0.004995004995004995,0.9463960696837409
AIP,0.9766617438259059,0.002997002997002997,0.9463960696837409
PSMF1,0.9765398359379899,0.003996003996003996,0.9463960696837409
