gene,M_prot,S_prot,R_prot,n_cells,S_resid,R_resid,C_prot,C_rna
AHCY,417.07867431640625,0.9818677306175232,0.9846636008658058,88,33.049173878835546,-4.039339103068457,0.6260162601626016,0.3739495798319328
ATP5MD,382.7103576660156,0.974608302116394,0.9902806610758971,400,23.507384143116923,11.53507629206382,0.6910569105691057,0.5756302521008403
CGAS,184.88107299804688,0.9443361163139343,-0.32059707046184444,400,-31.173066257368035,-27.13039945312199,0.15853658536585366,
CTSB,215.55987548828125,0.953265368938446,0.942356072858626,400,-33.17011260012126,1.0836310637035353,0.3211382113821138,
DNMT1,204.7984619140625,0.9677056670188904,0.7056014558548762,342,22.411990042692587,-17.172214984973763,0.5040650406504065,0.6134453781512605
EMP1,234.1481475830078,0.9575830101966858,0.5300594369925687,400,-34.334317885748945,-37.40467683894185,0.10975609756097562,
FGFR1,182.39183044433594,0.9600052833557129,0.47730393014640393,400,-8.256645728805267,-11.981568662857452,0.3861788617886179,
FTH1,256.15887451171875,0.9734099507331848,0.9322008552473315,126,37.250738414311684,-21.446492370793635,0.5609756097560976,0.6554621848739496
GRN,187.52560424804688,0.9724511504173279,-0.31028367133155793,400,59.9105132140692,-26.27923024338653,0.5813008130081301,
GSEC,298.02716064453125,0.9718363285064697,0.9833036189208196,400,11.838748371619076,2.7257226141801283,0.5813008130081301,0.4621848739495798
HLA-B,282.265869140625,0.35218098759651184,-0.3331103146502546,400,-74.74630792844155,-76.23246185396809,0.012195121951219513,0.2605042016806723
HLA-DRB5,198.51980590820312,0.955294668674469,0.966134843387248,400,-22.213379164463262,24.551031200423047,0.5528455284552846,
IDI2-AS1,221.45138549804688,0.9567408561706543,0.9317375267068759,400,-29.835794714372327,-7.5116920973546115,0.26016260162601623,
IFNGR1,284.97711181640625,0.9428426623344421,0.8111384245278873,400,-72.1209387212857,-55.95570803936491,0.024390243902439025,0.8739495798319328
IFNGR2,226.9293212890625,0.9393182992935181,0.1692439638918389,400,-51.12684603577925,-37.38376907301597,0.07317073170731708,0.9033613445378152
