gene,out_degree,in_degree,pagerank,hub,two_hop_reach,reach_ratio
AAAS,0.0,36.0,9.788448726750663e-05,-0.0,0,0.0
AACS,11.0,68.0,0.00022842796722750858,3.362985732660387e-05,540,45.0
AAGAB,0.0,38.0,5.385426132480716e-05,-0.0,0,0.0
AAK1,3.0,89.0,0.0005706488483986825,4.628958461729203e-06,54,13.5
AAMDC,14.0,41.0,7.886456513038362e-05,4.024244260152258e-05,54,3.6
AAR2,3.0,11.0,6.772146198090321e-05,3.40546079633923e-06,3,0.75
AARSD1,0.0,29.0,5.108165353727734e-05,-0.0,0,0.0
AASDH,39.0,8.0,4.746598943172459e-05,0.00017025642812506007,4739,118.475
AASDHPPT,0.0,34.0,9.477726534712697e-05,-0.0,0,0.0
AASS,13.0,12.0,4.9292345399751045e-05,6.213327216774468e-05,3099,221.35714285714286
ABAT,0.0,24.0,8.91316278339919e-05,-0.0,0,0.0
ABCA2,0.0,49.0,0.00017250638789696412,-0.0,0,0.0
ABCA3,97.0,30.0,8.116968719513196e-05,0.00023872582545866953,1051,10.724489795918368
ABCA5,19.0,67.0,9.825264734314334e-05,3.6953270181298785e-05,870,43.5
ABCA7,0.0,60.0,5.9235436854127055e-05,-0.0,0,0.0
ABCB1,2.0,23.0,4.994143410219823e-05,5.6759284505686545e-06,1,0.3333333333333333
ABCB6,0.0,87.0,0.00011344844299364878,-0.0,0,0.0
ABCB7,0.0,76.0,6.417366378813551e-05,-0.0,0,0.0
ABCB8,1.0,17.0,5.3449559099947935e-05,5.852110900007051e-07,0,0.0
ABCB9,1.0,15.0,4.905686420170629e-05,3.83347848093566e-06,3,1.5
ABCC1,26.0,70.0,8.694826783888911e-05,6.003805487907429e-05,1828,67.70370370370371
ABCC2,0.0,5.0,6.172951335282141e-05,-0.0,0,0.0
ABCC4,25.0,23.0,4.968904930515132e-05,0.00010367003882508269,360,13.846153846153847
ABCC5,0.0,13.0,9.614790005403319e-05,-0.0,0,0.0
ABCD2,9.0,168.0,0.00018411892130755335,1.759286925726656e-05,59,5.9
ABCD3,0.0,23.0,5.519987117426257e-05,-0.0,0,0.0
ABCD4,7.0,22.0,0.0001261646869416312,1.7613605179851265e-05,6,0.75
ABCE1,0.0,83.0,0.00010120237643662097,-0.0,0,0.0
ABCF2,2.0,57.0,9.799291980323475e-05,6.289203029509284e-06,3,1.0
