gene,M,Sp,R,S,n_cells,n_guides
A2M,15.442502975463867,0.1427028477191925,-0.10834574202859375,0.7183247804641724,519,3
ACSL3,14.491903305053711,0.12731994688510895,0.29280205619236693,0.22213207185268402,225,3
ACTA2,12.754640579223633,0.119575135409832,-0.06179738716818273,0.697327196598053,602,3
AEBP1,12.933216094970703,0.12313447892665863,-0.007463743279540216,0.5642410516738892,526,3
AGA,14.310546875,0.13157208263874054,-0.08753539986025016,0.6468061208724976,414,3
AHCY,41.07575988769531,0.3419557511806488,,0.5562755465507507,34,0
AHNAK,15.669759750366211,0.14439213275909424,-0.08284427293065484,0.6277434229850769,428,3
APOC2,12.469895362854004,0.11893513053655624,-0.014382027280892851,0.6608594655990601,465,3
APOD,11.44472885131836,0.10876259207725525,0.029902563977964338,0.40764090418815613,457,3
APOE,13.104501724243164,0.12435650080442429,-0.020946931906354924,0.5319223403930664,455,3
ARMC6,13.9960298538208,0.13096114993095398,-0.034290868845131335,0.5736453533172607,376,3
ATP1B1,14.481733322143555,0.1338692456483841,-0.06466877554814698,0.7825178503990173,447,3
ATP5MD,13.000972747802734,0.11194290965795517,0.3953713188930062,0.1282273530960083,246,3
B2M,13.136046409606934,0.12401188164949417,-0.06060232392552117,0.5718829035758972,532,3
BOLA2,17.092714309692383,0.1530381143093109,-0.05546880078022115,0.7645443081855774,293,3
BOLA2B,13.621156692504883,0.12409862875938416,0.13217923617945893,0.4082861840724945,269,3
BZW2,15.293333053588867,0.1432843655347824,-0.08664706898119486,0.6163921356201172,366,3
C19orf48,13.371088027954102,0.12532801926136017,0.015087652353065473,0.6640475392341614,447,3
C1QBP,15.110762596130371,0.14117179811000824,0.06444868311320044,0.47184959053993225,301,3
C6orf226,13.705530166625977,0.1269547939300537,-0.07176788322730947,0.7842012643814087,410,3
CCND1,18.025917053222656,0.16428452730178833,0.3205125955547909,0.4357394576072693,271,3
CCND2,14.106081008911133,0.1286959946155548,-0.10626055205317471,0.6462542414665222,405,3
CCR10,13.270508766174316,0.12495631724596024,-0.02489061988190176,0.5363033413887024,394,3
CCT3,23.492595672607422,0.20271284878253937,0.21029934664241773,0.3887591063976288,73,2
CD151,12.627022743225098,0.11798056215047836,0.0025010986033432783,0.6031576991081238,367,3
CD274,12.221234321594238,0.11782506853342056,-0.059397344858485294,0.6685261130332947,511,3
CD44,11.794018745422363,0.11325736343860626,0.06684303715122875,0.3919827938079834,434,3
CD47,11.058083534240723,0.1047334298491478,0.1265466828595985,0.3868679404258728,425,3
CD58,12.005402565002441,0.11315304040908813,0.042597579983191226,0.5215178728103638,412,3
CD59,12.856607437133789,0.12208449095487595,-0.06573713234660078,0.5797647833824158,515,3
CD63,12.934734344482422,0.12322824448347092,0.01953708609419785,0.6562169790267944,351,3
CDC123,18.398088455200195,0.16233336925506592,,0.4930623769760132,136,1
CDH19,13.350553512573242,0.1249968558549881,-0.06401971742755326,0.5672414302825928,460,3
CDK4,14.297410011291504,0.1331515908241272,-0.03396472884785744,0.5999141931533813,344,3
CDK6,23.738849639892578,0.21209608018398285,0.08516968553119399,0.6816834807395935,196,3
CDKN1A,15.634492874145508,0.1438046395778656,0.10495581664841054,0.6641569137573242,394,3
